donor,status,NA,clustering,qc_num_umi,qc_num_reads,qc_mean_reads_per_umi,qc_std_reads_per_umi,qc_mapped_reads,qc_genome_not_gene,qc_unmapped_reads,qc_umi_corrected,qc_barcode_corrected,fineclusters
donor_3,control,PST45044_CSF,CD4_Tc,4818,33843,7.02428393524,5.33954345089,0.547351003162,0.307449103212,0.145199893626,0.00780072688591,0.0353396566498,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,5140,37844,7.3626459144,5.38355708682,0.603556706479,0.258825705528,0.137617587993,0.00626255152732,0.0296744530177,Tc_4
donor_3,control,PST45044_CSF,aCD8_Tc,5126,37031,7.2241513851,5.5296178152,0.550268693797,0.308741324836,0.140989981367,0.00604898598472,0.0220355918015,aCD8
donor_3,control,PST45044_CSF,Bc,3671,27255,7.42440751839,5.62673583477,0.490038525041,0.366244725738,0.14371674922,0.00601724454229,0.0299027701339,Bc
donor_3,control,PST45044_CSF,nc_mono,9354,64892,6.93735300406,5.4257750057,0.517922085927,0.330025272761,0.152052641312,0.00662639462492,0.0388491647661,nc_mono
donor_3,control,PST45044_CSF,CD4_Tc,5605,40904,7.29776984835,5.5147913189,0.574198122433,0.282930764717,0.14287111285,0.00620966164678,0.0400205358889,Tc_3
donor_3,control,PST45044_CSF,nCD8_Tc,4207,30486,7.24649393867,5.47360818287,0.544938660369,0.313094535196,0.141966804435,0.00862691071311,0.0458243127993,nCD8
donor_3,control,PST45044_CSF,aCD8_Tc,5104,36640,7.17868338558,5.44671227922,0.556850436681,0.304858078603,0.138291484716,0.00715065502183,0.0281113537118,aCD8
donor_3,control,PST45044_CSF,aCD8_Tc,4889,33554,6.86316220086,5.25875965335,0.535971866245,0.315163616856,0.148864516898,0.00554330333194,0.0385647016749,aCD8
donor_3,control,PST45044_CSF,Bc,6688,45697,6.8326854067,5.16524857846,0.575530122328,0.28599251592,0.138477361752,0.00752784646695,0.0347725233604,Bc
donor_3,control,PST45044_CSF,CD4_Tc,5299,37089,6.99924514059,5.20714722435,0.587020410364,0.263258648117,0.149720941519,0.00792687858934,0.0355091806196,Tc_3
donor_3,control,PST45044_CSF,mDC,22587,146182,6.47195289326,4.93641039831,0.581309600361,0.278153261003,0.140537138635,0.00750434390007,0.0281293182471,mDC1/2
donor_3,control,PST45044_CSF,CD4_Tc,4760,31860,6.69327731092,5.33504836863,0.537915881984,0.316760828625,0.145323289391,0.0056183301946,0.0270558694288,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,3750,25367,6.76453333333,5.11643784599,0.515906492687,0.340442306934,0.143651200378,0.00579493042141,0.0292111798794,Tc_2
donor_3,control,PST45044_CSF,CD4_Tc,6032,39277,6.51143899204,4.93269592528,0.583216640782,0.282455381012,0.134327978206,0.00796904040533,0.0280825928661,Tc_1
donor_3,control,PST45044_CSF,nCD8_Tc,4035,27320,6.770755886,5.27895488697,0.478660322108,0.380600292826,0.140739385066,0.0064055636896,0.0246339677892,nCD8
donor_3,control,PST45044_CSF,mDC,16142,102936,6.37690496841,5.06110918966,0.569489780058,0.262396051916,0.168114168027,0.00663519079817,0.0283962850703,mDC1/2
donor_3,control,PST45044_CSF,CD4_Tc,4837,31827,6.57990489973,5.17014811244,0.526031357024,0.332422157288,0.141546485688,0.00744650768216,0.0284349765922,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,5573,35383,6.34900412704,4.98043888943,0.568804228019,0.284741259927,0.146454512054,0.00796992906198,0.0261707599695,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,5160,34571,6.69980620155,5.05561241245,0.581759278008,0.270833935958,0.147406786035,0.00769431026004,0.028636718637,Tc_1
donor_3,control,PST45044_CSF,CD4_Tc,5278,34961,6.62391057219,5.15733988849,0.521781413575,0.331197620205,0.14702096622,0.00617831297732,0.0280026315037,Tc_1
